dealUniqueId,fromCurrency,toCurrency,dealTimeStamp,dealAmount
DEALID1,AED,SRD,11-Jan-10,1001
DEALID2,AFN,SSP,12-Jan-10,1002
DEALID3,ALL,STD,13-Jan-10,1003
DEALID4,AMD,SVC,14-Jan-10,1004
DEALID5,ANG,SYP,15-Jan-10,1005
DEALID6,AOA,SZL,16-Jan-10,1006
DEALID7,ARS,THB,17-Jan-10,1007
DEALID8,AUD,TJS,18-Jan-10,1008
DEALID9,AWG,TMT,19-Jan-10,1009
DEALID10,AZN,TND,20-Jan-10,1010
DEALID11,BAM,TOP,21-Jan-10,1011
DEALID12,BBD,TRY,22-Jan-10,1012
DEALID13,BDT,TTD,23-Jan-10,1013
DEALID14,BGN,TWD,24-Jan-10,1014
DEALID15,BHD,TZS,25-Jan-10,1015
DEALID16,BIF,UAH,26-Jan-10,1016
DEALID17,BMD,UGX,27-Jan-10,1017
DEALID18,BND,USD,28-Jan-10,1018
DEALID19,BOB,USN,29-Jan-10,1019
DEALID20,BOV,UYI,30-Jan-10,1020
DEALID21,BRL,UYU,31-Jan-10,1021
DEALID22,BSD,UZS,01-Feb-10,1022
DEALID23,BTN,VEF,02-Feb-10,1023
DEALID24,BWP,VND,03-Feb-10,1024
DEALID25,BYN,VUV,04-Feb-10,1025
DEALID26,BZD,WST,05-Feb-10,1026
DEALID27,CAD,XAF,06-Feb-10,1027
DEALID28,CDF,XAG,07-Feb-10,1028
DEALID29,CHE,XAU,08-Feb-10,1029
DEALID30,CHF,XBA,09-Feb-10,1030
DEALID31,CHW,XBB,10-Feb-10,1031
DEALID32,CLF,XBC,11-Feb-10,1032
DEALID33,CLP,XBD,12-Feb-10,1033
DEALID34,CNY,XCD,13-Feb-10,1034
DEALID35,COP,XDR,14-Feb-10,1035
DEALID36,COU,XOF,15-Feb-10,1036
DEALID37,CRC,XPD,16-Feb-10,1037
DEALID38,CUC,XPF,17-Feb-10,1038
DEALID39,CUP,XPT,18-Feb-10,1039
DEALID40,CVE,XSU,19-Feb-10,1040
DEALID41,CZK,XTS,20-Feb-10,1041
DEALID42,DJF,XUA,21-Feb-10,1042
DEALID43,DKK,XXX,22-Feb-10,1043
DEALID44,DOP,YER,23-Feb-10,1044
DEALID45,DZD,ZAR,24-Feb-10,1045
DEALID46,EGP,ZMW,25-Feb-10,1046
DEALID47,ERN,ZWL,26-Feb-10,1047
DEALID48,ETB,,27-Feb-10,1048
DEALID49,EUR,AED,28-Feb-10,1049
DEALID50,FJD,AFN,01-Mar-10,1050
DEALID51,FKP,ALL,02-Mar-10,1051
DEALID52,GBP,AMD,03-Mar-10,1052
DEALID53,GEL,ANG,04-Mar-10,1053
DEALID54,GHS,AOA,05-Mar-10,1054
DEALID55,GIP,ARS,06-Mar-10,1055
DEALID56,GMD,AUD,07-Mar-10,1056
DEALID57,GNF,AWG,08-Mar-10,1057
DEALID58,GTQ,AZN,09-Mar-10,1058
DEALID59,GYD,BAM,10-Mar-10,1059
DEALID60,HKD,BBD,11-Mar-10,1060
DEALID61,HNL,BDT,12-Mar-10,1061
DEALID62,HRK,BGN,13-Mar-10,1062
DEALID63,HTG,BHD,14-Mar-10,1063
DEALID64,HUF,BIF,15-Mar-10,1064
DEALID65,IDR,BMD,16-Mar-10,1065
DEALID66,ILS,BND,17-Mar-10,1066
DEALID67,INR,BOB,18-Mar-10,1067
DEALID68,IQD,BOV,19-Mar-10,1068
